Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	mPmumew4	mw4Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
52	37257	1043	0.0188249	0.030912	35	38300	42	71	68	15.3942	16.415	0.198433	19.8591	26	29	42	0
53	114108	2037	0.0296741	0.033495	23	116145	169	47	21	7.65604	4.5239	0.0804734	6.5997	5	31	16	0
54	11010	96714	0.0250646	0.00391949	12	107724	42	31	17	7.10242	3.70357	0.535621	11.3966	6	20	11	0
55	334223	383493	0.0181697	0.0219191	508	717716	14	0	6	0	0.759226	0.459053	0.741379	6	0	0	0
56	3835	114111	0.00126826	0.0224573	322	117946	34	68	131	19.2184	25.0309	0.200269	27.7639	74	11	57	0
57	21466	21651	0.02101	0.0109222	100	43117	605	536	401	114.3	98.0339	0.0833879	115.702	81	216	320	0
58	1566246	19797	0.00220056	0.0126682	1131	1586043	71	15	33	4.70435	7.06231	0.129633	6.78561	18	0	15	0
59	10925	1369	0.0305745	0.0283867	839	12294	486	1853	2057	423.875	423.495	0.0152029	430.225	530	326	1527	0
60	1434079	18555	0.0206822	0.0373374	641	1452634	98	13	17	3.26184	3.2196	0.0616901	3.45352	8	4	9	0
61	2014810	323519	0.0293338	0.0079027	115	2338329	174	9	6	2.05604	1.78282	0.121848	2.18291	1	4	5	0
62	218772	1601	0.00352699	0.0170059	901	220373	960	243	224	53.4145	49.2837	0.0297416	52.9063	50	69	174	0
63	3952811	4201	0.00620897	0.046678	1630	3957012	75	11	20	3.58068	4.3176	0.000490622	3.95277	10	1	10	0
64	5851	3741	0.0271835	0.0308323	73	9592	51	403	473	100.872	107.963	0.118696	118.553	193	123	280	0
65	15800	4120	0.00878038	0.0433656	10	19920	18	68	36	16.5043	8.89655	0.406551	21.0772	18	50	18	0
66	2094	5850	0.0212155	0.0040041	431	7944	314	1261	1672	296.63	322.353	0.0476336	325.105	715	304	957	0
67	24110	50996	0.0178134	0.00552258	63	75106	149	108	92	26.2251	21.2619	0.182183	28.9565	35	51	57	0
68	56517	1529	0.0253491	0.0497422	1739	58046	162	617	789	155.68	169.668	0.0235404	166.648	239	67	550	0
69	1928	48758	0.0147207	0.0273167	241	50686	346	395	339	82.1459	73.3291	0.0363972	80.6342	82	138	257	0
70	34093	44010	0.0252821	0.0253297	16	78103	1100	137	29	15.2715	6.33817	0.149395	12.59	3	111	26	0
71	37858	499798	0.0359749	0.0480044	1155	537656	60	25	32	6.16715	5.69631	0.070514	6.37856	14	7	18	0
