Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
1	9467	3228	1198	12695	34	52	2028	10.2696	451.999	0.842482	1607.32	2028	52	0	1162
2	6959	27949	21	34908	80	76	16	16.6686	3.10587	0.99832	5410.25	16	76	0	5393
3	2885457	1399	873	2886856	49	1	12	0.321739	2.95947	0.779008	7.97676	12	1	0	4
4	27503	156011	524	183514	13	2	91	0.664734	18.6528	0.998096	5627.99	91	2	0	5611
5	2845	72381	603	75226	15	7	229	1.29372	51.0393	0.995129	5969.94	229	7	0	5915
6	107552	82948	387	190500	88	16	68	3.76812	13.196	0.997314	3363.72	68	16	0	3346
7	1888162	13099	18	1901261	57	0	0	0	0	1	76	0	0	0	76
8	976985	35953	204	1012938	25	0	14	0	3.65457	0.993565	317.155	14	0	0	314
9	581285	9038	1753	590323	1661	122	116	25.1256	26.1307	0.855605	177.839	116	122	0	128
10	2215187	375451	44	2590638	1883	29	0	7.52174	0	0.997497	1325.98	0	29	0	1320
11	217691	64923	760	282614	36	1	92	0.0434783	18.8167	0.994526	1923.37	92	1	0	1904
12	954133	2267	2482	956400	420	17	108	4.73043	26.0575	0.703918	55.0232	108	17	0	24
13	26941	193009	144	219950	1509	212	25	48.0502	4.57108	0.995758	5602.59	25	212	0	5552
14	304127	5117	122	309244	34	4	11	1.4715	1.43255	0.99057	153.735	11	4	0	151
15	42877	126009	59	168886	81	15	13	2.68406	3.63158	0.999371	5111.12	13	15	0	5105
16	216702	173524	18	390226	58	8	2	1.82029	0.165154	0.999744	3499.96	2	8	0	3498
17	36386	1151	196	37537	569	511	184	114.594	37.859	0.757369	299.903	184	511	0	154
18	1062	38447	16	39509	656	460	7	107.903	1.36782	0.991555	5733.75	7	460	0	5633
19	13123	139304	319	152427	40	7	71	1.65121	13.6189	0.998599	5951.28	71	7	0	5936
20	1401	194247	2180	195648	66	8	299	1.76039	67.5372	0.9936	6014.95	299	8	0	5943
21	3962672	106096	2906	4068768	192	2	40	0.507246	8.69812	0.981086	268.364	40	2	0	259
22	3128235	1605	14	3129840	172	5	0	0.931401	0	0.926042	5.6087	0	5	0	5
23	2807970	4445	84	2812415	12	0	1	0	0.0998185	0.996526	16.0517	1	0	0	16
24	3179133	2916	1155	3182049	26	0	21	0	3.60254	0.846527	12.9138	21	0	0	10
25	23211	2919	342	26130	91	111	485	26.5575	106.396	0.930437	1018.63	485	111	0	884
26	2190	47363	578	49553	148	65	340	13.7314	71.245	0.992137	5830.83	340	65	0	5745
27	1711613	71963	1557	1783576	1417	37	36	8.04928	6.27284	0.980802	367.666	36	37	0	352
28	14978	4347	24	19325	26	54	38	14.7072	9.20508	0.993894	1905.27	38	54	0	1880
29	1346535	213686	2882	1560221	99	2	88	0.963285	19.3267	0.990609	1194.33	88	2	0	1179
30	1843925	8780	151	1852705	138	5	3	1.0657	0.168784	0.98837	48.5862	3	5	0	47
31	261102	291388	16	552490	12	1	0	0.0850242	0	0.99999	3942.04	0	1	0	3942
32	67826	460337	11	528163	210	11	2	2.43961	0.276467	0.999787	5768.05	2	11	0	5766
33	2534600	4907	77	2539507	118	0	1	0	0.215971	0.988919	10.8793	1	0	0	10
34	91315	111097	27	202412	1406	203	6	47.1575	0.669691	0.994706	4002.88	6	203	0	3956
35	2218291	3375	199	2221666	258	3	4	0.422222	0.669087	0.96727	17.1012	4	3	0	16
36	5187	1167	11	6354	158	785	54	179.726	11.9141	0.935656	1345.27	54	785	0	1161
37	147947	303578	2248	451525	1686	106	170	22.5517	36.8542	0.993393	4622.01	170	106	0	4559
38	319664	50980	23	370644	105	15	0	4.68213	0	0.998319	1228.83	0	15	0	1224
39	8567	16943	11	25510	2076	1729	9	387.138	1.366	0.944095	3090.59	9	1729	0	2721
40	2165	2202	54	4367	36	273	359	65.0589	73.4882	0.979997	3487.48	359	273	0	3362
