Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
41	790981	393650	70	1184631	56	0	3	0	0.61343	0.999879	2824.86	3	0	0	2824
42	1444	410300	23	411744	1161	81	0	16.9903	0	0.998819	6345.76	0	81	0	6327
43	10536	31827	132	42363	2215	1213	75	271.456	17.7278	0.966822	3922.52	75	1213	0	3641
44	307180	17073	59	324253	146	15	8	3.81353	2.10587	0.993945	472.345	8	15	0	466
45	278331	33868	10	312199	599	73	1	16.7942	0.130672	0.992531	1002.76	1	73	0	988
46	2061026	4201	38	2065227	46	0	1	0	0.0677556	0.996855	12.0345	1	0	0	12
47	55926	3783	16	59709	336	203	13	48.0744	1.73019	0.960402	562.656	13	203	0	510
48	440501	31836	597	472337	530	46	52	11.6638	11.4029	0.983053	679.659	52	46	0	657
49	2513616	18043	19	2531659	2355	40	1	10.6957	0.0344828	0.944978	86.7129	1	40	0	75
50	20107	21382	26	41489	617	432	27	99.9556	4.40593	0.986785	3528.78	27	432	0	3424
51	9062	37147	1661	46209	1419	667	798	152.072	173.661	0.959784	4080.14	798	667	0	3755
52	530793	143919	27	674712	101	6	1	1.00193	0.0677556	0.999735	1813.1	1	6	0	1812
53	4322579	1672	1242	4324251	376	3	13	0.171981	3.51845	0.742533	7.74213	13	3	0	3
54	33499	132777	180	166276	94	20	37	4.78261	9.92559	0.998583	5404.54	37	20	0	5392
55	1433	70371	29	71804	1110	389	15	84.0754	3.49849	0.993223	5766.08	15	389	0	5683
56	189553	390551	435	580104	62	4	13	0.604831	3.37387	0.99955	4778.44	13	4	0	4775
57	12654	93645	13	106299	102	28	3	5.99227	0.681791	0.999483	5848.54	3	28	0	5840
58	460249	3528	54	463777	45	3	8	0.990338	1.2922	0.983287	69.3321	8	3	0	66
59	144493	2617	1448	147110	11	4	377	1.04638	82.4731	0.804785	233.848	377	4	0	158
60	1067449	6590	774	1074039	174	7	36	1.5913	7.64005	0.927754	68.4708	36	7	0	60
61	4321	1225	115	5546	399	1565	474	350.578	104.252	0.82942	1262.17	474	1565	0	823
62	3027239	2649	12	3029888	94	2	1	0.0869565	0.0344828	0.992848	8.06072	1	2	0	8
63	4163	15545	1766	19708	185	167	1705	39.1604	366.597	0.939053	3626.28	1705	167	0	3240
64	722535	74431	114	796966	16	1	7	0.124638	1.34967	0.999048	849.883	7	1	0	848
65	4906261	1131	2939	4907392	37	1	23	0.0850242	5.28736	0.341587	4.25037	23	1	0	0
66	4249751	29017	393	4278768	38	0	5	0	0.684815	0.994097	64.7931	5	0	0	64
67	2340208	19118	32	2359326	68	0	2	0	0.866304	0.994478	87.6207	2	0	0	87
68	1341859	1205	77	1343064	11	1	4	0.0434783	1.35632	0.940187	12.9183	4	1	0	11
69	81715	3924	1886	85639	206	80	793	19.2473	173.423	0.80399	529.031	793	80	0	339
70	4930	9188	1633	14118	204	270	2078	56.9498	447.718	0.90643	2920.31	2078	270	0	2446
71	513074	5554	104	518628	14	1	6	0.414493	2.3297	0.987415	117.873	6	1	0	115
72	6624	7792	346	14416	158	274	625	66.6879	132.858	0.969881	3438.17	625	274	0	3243
73	7986	5982	1063	13968	41	71	1710	14.7971	370.957	0.914922	2493.17	1710	71	0	2110
74	49391	11945	22	61336	962	497	10	119.437	1.61343	0.964785	1528.58	10	497	0	1414
75	80830	158162	635	238992	387	63	71	14.0338	14.7623	0.996938	4716.53	71	63	0	4685
76	3854441	30549	174	3884990	104	0	1	0	0.353902	0.997372	75.2241	1	0	0	75
77	418726	2555	17	421281	18	1	1	0.394203	0.506352	0.991497	53.7264	1	1	0	53
78	55457	62751	142	118208	51	17	37	3.1285	7.57653	0.998578	3946.91	37	17	0	3936
79	741300	9146	107	750446	721	33	7	7.4628	1.1954	0.963975	110.289	7	33	0	104
80	2045	151170	16	153215	27	3	4	0.794203	0.705384	0.999882	6320.13	4	3	0	6319
81	3529238	29505	321	3558743	46	0	10	0	2.56019	0.986185	103.414	10	0	0	101
82	1676	9869	190	11545	118	242	440	50.8097	95.9492	0.985059	5086.28	440	242	0	4948
83	77768	100870	116	178638	105	39	22	8.55266	5.90684	0.998319	4207.49	22	39	0	4193
84	1884378	102544	14	1986922	1689	29	0	5.11884	0	0.995435	495	0	29	0	490
85	70712	5199	403	75911	2715	949	166	201.834	37.8554	0.786436	525.272	166	949	0	306
86	8149	1068	93	9217	12	40	376	10.4986	80.801	0.951948	1032.1	376	40	0	941
87	16446	40988	383	57434	2591	1112	163	249.706	33.1748	0.966532	3857.81	163	1112	0	3584
88	17860	9335	50	27195	11	16	68	3.30242	16.4083	0.996133	2747.16	68	16	0	2728
89	13271	111453	33	124724	17	7	11	2.25024	2.19117	0.999619	5825.46	11	7	0	5822
90	287773	9100	72	296873	14	1	10	0.198068	1.99637	0.995766	284.005	10	1	0	281
91	255805	3462	133	259267	629	93	18	19.9691	4.99758	0.895987	112.397	18	93	0	93
92	35674	12388	1656	48062	115	57	1082	11.2068	228.34	0.932243	1943.9	1082	57	0	1711
93	1262	21713	18	22975	967	996	17	234.9	3.43799	0.978446	4910.31	17	996	0	4685
94	54314	4694	1660	59008	14	10	955	2.45604	204.769	0.843438	726.368	955	10	0	528
95	7788	111469	13	119257	1326	301	3	62.4367	0.959468	0.995151	5794.47	3	301	0	5729
96	400538	1591	16	402129	2842	179	0	30.1082	0	0.67424	42.4783	0	179	0	23
97	2178	214596	2368	216774	879	89	290	21.0155	63.4694	0.992488	5953.1	290	89	0	5870
98	15975	4537	10	20512	134	221	19	48.3101	3.27102	0.987149	1803.26	19	221	0	1753
99	7583	263179	1442	270762	537	54	135	11.1961	25.2456	0.996891	6125.5	135	54	0	6089
100	100774	11312	22	112086	29	6	5	1.11691	0.727768	0.999077	974.092	5	6	0	973
1	9467	3228	1198	12695	34	46	2105	10.8309	432.334	0.849859	1617.13	2105	46	0	1178
2	6959	27949	21	34908	80	66	24	13.0831	4.12523	0.998495	5366.46	24	66	0	5352
3	2885457	1399	873	2886856	49	0	13	0	2.72414	0.826852	8.63793	13	0	0	5
4	27503	156011	524	183514	13	1	100	0.476329	21.2759	0.997855	5640.51	100	1	0	5619
5	2845	72381	603	75226	15	8	238	2.16135	50.9316	0.995025	5909.33	238	8	0	5851
6	107552	82948	387	190500	88	22	75	5.76812	16.4192	0.996552	3398.44	75	22	0	3377
7	1888162	13099	18	1901261	57	0	2	0	0.578947	0.995836	77.6724	2	0	0	77
8	976985	35953	204	1012938	25	0	11	0	1.83908	0.996851	326.31	11	0	0	324
9	581285	9038	1753	590323	1661	116	140	25.7304	29.314	0.820106	153.96	140	116	0	101
10	2215187	375451	44	2590638	1883	26	3	4.17681	0.794918	0.998233	1294.26	3	26	0	1288
11	217691	64923	760	282614	36	3	112	0.407729	24.3376	0.992915	1943.56	112	3	0	1917
12	954133	2267	2482	956400	420	15	107	3.2599	25.1216	0.71506	53.0795	107	15	0	21
13	26941	193009	144	219950	1509	231	15	55.1372	3.5614	0.995194	5478.23	15	231	0	5418
14	304127	5117	122	309244	34	3	14	0.682126	3.60375	0.984942	153.564	14	3	0	149
15	42877	126009	59	168886	81	16	15	3.2087	3.4761	0.999364	5278.26	15	16	0	5271
16	216702	173524	18	390226	58	4	3	1.04928	1.1216	0.999686	3472.32	3	4	0	3470
17	36386	1151	196	37537	569	467	198	102.424	41.9849	0.767511	298.697	198	467	0	145
18	1062	38447	16	39509	656	430	9	98.1275	1.35814	0.992301	5727.42	9	430	0	5629
19	13123	139304	319	152427	40	5	54	1.15459	12.6993	0.998708	5887.95	54	5	0	5874
20	1401	194247	2180	195648	66	12	329	2.35652	70.0817	0.993142	5858.51	329	12	0	5785
21	3962672	106096	2906	4068768	192	0	26	0	6.3781	0.986279	259.397	26	0	0	255
22	3128235	1605	14	3129840	172	5	0	0.669565	0	0.933799	4.5	0	5	0	4
23	2807970	4445	84	2812415	12	0	0	0	0	1	21	0	0	0	21
24	3179133	2916	1155	3182049	26	0	20	0	3.76165	0.757292	8.44828	20	0	0	5
25	23211	2919	342	26130	91	109	506	25.4425	111.433	0.927295	1006.01	506	109	0	877
26	2190	47363	578	49553	148	73	323	16.0638	71.3472	0.991865	5769.46	323	73	0	5685
27	1711613	71963	1557	1783576	1417	29	37	6.87826	6.5239	0.980978	351.202	37	29	0	337
28	14978	4347	24	19325	26	49	52	11.8319	12.0266	0.99396	1976.81	52	49	0	1948
29	1346535	213686	2882	1560221	99	1	94	0.486957	22.0865	0.98987	1238.42	94	1	0	1216
30	1843925	8780	151	1852705	138	5	4	1.61063	0.603751	0.976827	45.2796	4	5	0	43
31	261102	291388	16	552490	12	0	0	0	0	1	3992	0	0	0	3992
32	67826	460337	11	528163	210	8	0	2.07826	0	0.999841	5748.59	0	8	0	5746
33	2534600	4907	77	2539507	118	1	3	0.162319	0.701149	0.968146	14.518	3	1	0	14
34	91315	111097	27	202412	1406	232	5	55.0908	1.25408	0.993671	3954.15	5	232	0	3900
35	2218291	3375	199	2221666	258	7	3	1.4657	1.02722	0.938127	19.7534	3	7	0	18
36	5187	1167	11	6354	158	813	57	185.168	11.2184	0.931869	1300.89	57	813	0	1109
37	147947	303578	2248	451525	1686	110	170	23.2251	36.9522	0.993333	4633.49	170	110	0	4579
38	319664	50980	23	370644	105	12	3	3.02995	0.284936	0.998798	1245.2	3	12	0	1243
39	8567	16943	11	25510	2076	1721	9	399.843	2.28373	0.94449	3223.28	9	1721	0	2826
40	2165	2202	54	4367	36	254	371	54.1797	85.81	0.979606	3521.61	371	254	0	3375
41	790981	393650	70	1184631	56	1	4	0.29372	1.41319	0.99967	2783.31	4	1	0	2782
42	1444	410300	23	411744	1161	63	1	14.314	0.188748	0.998982	6309.04	1	63	0	6296
43	10536	31827	132	42363	2215	1208	74	280.717	15.9377	0.966486	3976.07	74	1208	0	3667
44	307180	17073	59	324253	146	12	12	1.96812	1.85239	0.996048	481.618	12	12	0	478
45	278331	33868	10	312199	599	90	1	19.4116	0.0344828	0.991143	970.169	1	90	0	952
46	2061026	4201	38	2065227	46	1	1	0.0434783	0.312765	0.988047	16.2114	1	1	0	16
47	55926	3783	16	59709	336	197	10	44.4377	2.25529	0.962465	558.278	10	197	0	515
48	440501	31836	597	472337	530	38	45	6.96039	9.62674	0.986832	641.569	45	38	0	625
49	2513616	18043	19	2531659	2355	31	0	7.457	0	0.947935	63.6087	0	31	0	57
50	20107	21382	26	41489	617	462	25	103.732	6.17786	0.986202	3572.35	25	462	0	3471
51	9062	37147	1661	46209	1419	662	732	149.126	161.416	0.961322	4032.44	732	662	0	3723
52	530793	143919	27	674712	101	7	0	1.24155	0	0.999707	1867.85	0	7	0	1866
53	4322579	1672	1242	4324251	376	4	10	1.34686	1.45372	0.812383	7.491	10	4	0	5
54	33499	132777	180	166276	94	26	29	4.95362	7.14217	0.998866	5448.06	29	26	0	5437
55	1433	70371	29	71804	1110	405	12	92.8029	2.57774	0.992747	5848.61	12	405	0	5760
56	189553	390551	435	580104	62	3	23	0.577778	6.3654	0.999192	4716.11	23	3	0	4708
57	12654	93645	13	106299	102	18	6	3.17295	1.86267	0.999588	5926.66	6	18	0	5922
58	460249	3528	54	463777	45	6	5	1.93816	0.653962	0.979154	58.6229	5	6	0	56
59	144493	2617	1448	147110	11	3	400	0.922705	86.0411	0.793282	229.752	400	3	0	145
60	1067449	6590	774	1074039	174	4	36	0.296618	6.90805	0.935365	61.3763	36	4	0	54
61	4321	1225	115	5546	399	1528	477	345.175	104.37	0.822023	1196.96	477	1528	0	766
62	3027239	2649	12	3029888	94	0	0	0	0	1	4	0	0	0	4
63	4163	15545	1766	19708	185	169	1665	37.4377	358.512	0.940761	3642.62	1665	169	0	3236
64	722535	74431	114	796966	16	1	8	0.449275	1.90139	0.998521	852.136	8	1	0	848
65	4906261	1131	2939	4907392	37	0	30	0	6.52692	0.667589	10.6034	30	0	0	3
66	4249751	29017	393	4278768	38	3	4	0.712077	1.20629	0.986377	72.5165	4	3	0	71
67	2340208	19118	32	2359326	68	1	2	0.124638	0.358137	0.996566	74.2721	2	1	0	74
68	1341859	1205	77	1343064	11	1	3	0.43285	0.794918	0.93793	10.2129	3	1	0	9
69	81715	3924	1886	85639	206	73	832	16.0367	185.404	0.787277	510.736	832	73	0	314
70	4930	9188	1633	14118	204	264	2042	56.9623	431.054	0.909809	2928.28	2042	264	0	2441
71	513074	5554	104	518628	14	4	10	0.833816	2.4144	0.98332	102.855	10	4	0	100
72	6624	7792	346	14416	158	255	660	58.1942	141.679	0.968908	3367.48	660	255	0	3170
73	7986	5982	1063	13968	41	63	1713	12.7797	356.832	0.918514	2496.87	1713	63	0	2147
74	49391	11945	22	61336	962	533	17	125.436	2.60496	0.963227	1551.41	17	533	0	1429
75	80830	158162	635	238992	387	46	75	8.94879	15.3122	0.997332	4686.93	75	46	0	4665
76	3854441	30549	174	3884990	104	0	2	0	0.91954	0.993331	77	2	0	0	76
77	418726	2555	17	421281	18	2	1	0.530435	0.508772	0.990007	51.8696	1	2	0	50
78	55457	62751	142	118208	51	15	40	4.1314	8.72595	0.99831	3962.64	40	15	0	3949
79	741300	9146	107	750446	721	48	8	9.98261	2.64791	0.948557	114.791	8	48	0	100
80	2045	151170	16	153215	27	5	4	0.498551	0.625529	0.99991	6328.61	4	5	0	6328
81	3529238	29505	321	3558743	46	2	3	0.0869565	0.610405	0.995707	88.3621	3	2	0	87
82	1676	9869	190	11545	118	268	423	62.7855	86.3624	0.984901	5029.39	423	268	0	4895
83	77768	100870	116	178638	105	20	24	4.83092	4.77616	0.998849	4171.53	24	20	0	4164
84	1884378	102544	14	1986922	1689	37	0	7.8599	0	0.99294	491.587	0	37	0	481
85	70712	5199	403	75911	2715	987	179	213.018	43.3109	0.771544	526.903	179	987	0	286
86	8149	1068	93	9217	12	47	386	9.95556	80.6673	0.953768	1066.07	386	47	0	980
87	16446	40988	383	57434	2591	1016	151	232.265	32.3987	0.967998	3778.99	151	1016	0	3520
88	17860	9335	50	27195	11	15	68	4.0686	16.1724	0.996108	2782.41	68	15	0	2762
89	13271	111453	33	124724	17	1	13	0.0434783	4.17241	0.999606	5964.73	13	1	0	5960
90	287773	9100	72	296873	14	2	9	0.275362	1.54325	0.996192	258.307	9	2	0	257
91	255805	3462	133	259267	629	94	18	21.8464	4.26255	0.90206	123.723	18	94	0	99
92	35674	12388	1656	48062	115	67	1062	14.3072	221.554	0.931277	1881.69	1062	67	0	1653
93	1262	21713	18	22975	967	979	18	227.74	4.17483	0.978846	4872.63	18	979	0	4647
94	54314	4694	1660	59008	14	9	970	2.4657	215.714	0.8532	816.513	970	9	0	597
95	7788	111469	13	119257	1326	291	4	62.7198	0.826981	0.995104	5749.17	4	291	0	5684
96	400538	1591	16	402129	2842	170	0	28.9874	0	0.6565	38.8696	0	170	0	20
97	2178	214596	2368	216774	879	110	283	23.1749	56.193	0.992997	5942.31	283	110	0	5867
98	15975	4537	10	20512	134	234	17	55.114	3.32426	0.986037	1877.37	17	234	0	1821
99	7583	263179	1442	270762	537	48	165	11.1845	37.8469	0.995641	5983.14	165	48	0	5936
100	100774	11312	22	112086	29	8	5	1.84444	1.06594	0.998509	945.041	5	8	0	943
1	9467	3228	1198	12695	34	63	2095	12.2686	442.558	0.850628	1667.58	2095	63	0	1227
2	6959	27949	21	34908	80	63	13	14.6899	2.12523	0.998579	5397.21	13	63	0	5382
3	2885457	1399	873	2886856	49	0	11	0	2.0242	0.801573	5.58621	11	0	0	4
4	27503	156011	524	183514	13	1	70	0.0434783	13.493	0.998663	5653.23	70	1	0	5643
5	2845	72381	603	75226	15	5	233	0.971014	53.7489	0.994765	5816.65	233	5	0	5766
6	107552	82948	387	190500	88	17	68	5.68213	15.7804	0.996698	3428.85	68	17	0	3409
7	1888162	13099	18	1901261	57	2	0	0.168116	0	0.998786	61.087	0	2	0	61
8	976985	35953	204	1012938	25	0	10	0	2.7683	0.995126	317.241	10	0	0	315
9	581285	9038	1753	590323	1661	118	120	29.3005	26.1143	0.83799	170.046	120	118	0	117
10	2215187	375451	44	2590638	1883	31	0	7.67923	0	0.997368	1287.48	0	31	0	1281
11	217691	64923	760	282614	36	1	89	0.347826	19.2341	0.994242	1892.29	89	1	0	1871
12	954133	2267	2482	956400	420	21	111	4.95362	20.5578	0.636063	36.6889	111	21	0	14
13	26941	193009	144	219950	1509	177	18	41.6676	2.89292	0.996418	5585.98	18	177	0	5544
14	304127	5117	122	309244	34	7	16	1.70435	3.30369	0.986426	191.313	16	7	0	185
15	42877	126009	59	168886	81	13	8	3.18261	1.22021	0.99959	5085.43	8	13	0	5081
16	216702	173524	18	390226	58	2	1	0.0869565	0.0344828	0.999983	3491.06	1	2	0	3491
17	36386	1151	196	37537	569	509	183	103.036	37.7278	0.772392	296.039	183	509	0	154
18	1062	38447	16	39509	656	420	13	99.0821	2.8542	0.992084	5729.26	13	420	0	5630
19	13123	139304	319	152427	40	2	49	0.940097	9.10163	0.999066	5888.87	49	2	0	5878
20	1401	194247	2180	195648	66	8	312	1.3942	63.8439	0.993979	6024.42	312	8	0	5960
21	3962672	106096	2906	4068768	192	2	39	0.168116	8.42105	0.983647	291.846	39	2	0	285
22	3128235	1605	14	3129840	172	4	0	0.738164	0	0.92201	4.21739	0	4	0	3
23	2807970	4445	84	2812415	12	0	1	0	0.0677556	0.997096	13.0345	1	0	0	13
24	3179133	2916	1155	3182049	26	0	18	0	3.0726	0.725711	6.08621	18	0	0	3
25	23211	2919	342	26130	91	129	479	29.5382	102.947	0.927738	972.307	479	129	0	843
26	2190	47363	578	49553	148	67	326	15.0087	70.8869	0.991974	5757.78	326	67	0	5673
27	1711613	71963	1557	1783576	1417	33	42	8.95072	10.801	0.974679	394.213	42	33	0	375
28	14978	4347	24	19325	26	49	49	11.9159	9.2801	0.994537	1911.8	49	49	0	1890
29	1346535	213686	2882	1560221	99	2	76	0.545894	20.052	0.990701	1229.77	76	2	0	1212
30	1843925	8780	151	1852705	138	3	3	0.669565	0.424682	0.985598	37.0022	3	3	0	36
31	261102	291388	16	552490	12	1	0	0.124638	0	0.999986	3917.07	0	1	0	3917
32	67826	460337	11	528163	210	8	1	2.08696	0.0998185	0.999834	5899.34	1	8	0	5897
33	2534600	4907	77	2539507	118	2	2	0.553623	0.575923	0.963318	15.431	2	2	0	14
34	91315	111097	27	202412	1406	208	4	43.7932	0.748336	0.994987	3939.61	4	208	0	3894
35	2218291	3375	199	2221666	258	7	3	1.5372	0.61101	0.917511	12.413	3	7	0	10
36	5187	1167	11	6354	158	784	60	177.339	11.8772	0.937058	1357.81	60	784	0	1172
37	147947	303578	2248	451525	1686	122	168	26.1198	35.0635	0.993219	4588.51	168	122	0	4531
38	319664	50980	23	370644	105	6	1	1.39903	0.0344828	0.999477	1217.19	1	6	0	1216
39	8567	16943	11	25510	2076	1592	12	353.969	1.89413	0.949901	3158.15	12	1592	0	2814
40	2165	2202	54	4367	36	272	388	64.8609	81.6818	0.978168	3400.54	388	272	0	3254
41	790981	393650	70	1184631	56	4	1	0.837681	0.160315	0.999838	2833.89	1	4	0	2833
42	1444	410300	23	411744	1161	80	1	19.4357	0.499093	0.998592	6289.4	1	80	0	6270
43	10536	31827	132	42363	2215	1177	77	262.792	14.8935	0.967996	3896.68	77	1177	0	3627
44	307180	17073	59	324253	146	16	12	3.18454	2.64005	0.994503	523.964	12	16	0	519
45	278331	33868	10	312199	599	75	0	16.0203	0	0.992839	987.848	0	75	0	973
46	2061026	4201	38	2065227	46	2	0	0.128502	0	0.99743	22.0652	0	2	0	22
47	55926	3783	16	59709	336	220	10	52.5729	2.6219	0.955173	552.917	10	220	0	502
48	440501	31836	597	472337	530	47	70	9.39517	14.971	0.979764	617.932	70	47	0	594
49	2513616	18043	19	2531659	2355	39	0	7.57005	0	0.949816	66.9783	0	39	0	61
50	20107	21382	26	41489	617	453	18	100.484	2.52269	0.986998	3523.54	18	453	0	3425
51	9062	37147	1661	46209	1419	629	818	140.771	177.544	0.959853	4016.22	818	629	0	3700
52	530793	143919	27	674712	101	7	2	0.960386	0.821537	0.999498	1760.21	2	7	0	1759
53	4322579	1672	1242	4324251	376	4	13	1.41643	3.15789	0.764837	10.063	13	4	0	5
54	33499	132777	180	166276	94	17	25	3.84831	4.54023	0.999224	5459.29	25	17	0	5452
55	1433	70371	29	71804	1110	406	7	103.161	2.31942	0.992036	5883.46	7	406	0	5786
56	189553	390551	435	580104	62	6	26	1.36039	6.08409	0.999161	4767.23	26	6	0	4760
57	12654	93645	13	106299	102	34	6	8.03382	0.738657	0.999331	5912.08	6	34	0	5901
58	460249	3528	54	463777	45	2	6	0.205797	1.02601	0.991986	82.8328	6	2	0	82
59	144493	2617	1448	147110	11	2	384	0.5343	82.6806	0.814904	246.249	384	2	0	165
60	1067449	6590	774	1074039	174	8	28	1.49758	5.02904	0.941851	59.4925	28	8	0	54
61	4321	1225	115	5546	399	1514	498	341.668	112.304	0.819923	1198.54	498	1514	0	750
62	3027239	2649	12	3029888	94	2	0	0.634783	0	0.977687	12.587	0	2	0	12
63	4163	15545	1766	19708	185	161	1715	38.2348	368.59	0.93881	3623.2	1715	161	0	3232
64	722535	74431	114	796966	16	0	3	0	1.08953	0.999305	875.948	3	0	0	875
65	4906261	1131	2939	4907392	37	0	19	0	4.68663	0.659697	7.43103	19	0	0	4
66	4249751	29017	393	4278768	38	0	8	0	2.31881	0.979424	62.8448	8	0	0	61
67	2340208	19118	32	2359326	68	2	1	0.484058	0.0344828	0.996823	73.2999	1	2	0	73
68	1341859	1205	77	1343064	11	0	0	0	0	1	15	0	0	0	15
69	81715	3924	1886	85639	206	113	789	23.2802	181.775	0.790706	525.457	789	113	0	329
70	4930	9188	1633	14118	204	230	2026	51.1942	442.981	0.907318	2892.48	2026	230	0	2406
71	513074	5554	104	518628	14	1	6	0.0434783	1.13914	0.993738	104.66	6	1	0	104
72	6624	7792	346	14416	158	281	659	62.5198	138.039	0.968784	3350.51	659	281	0	3140
73	7986	5982	1063	13968	41	63	1739	13.229	378.061	0.911306	2427.19	1739	63	0	2048
74	49391	11945	22	61336	962	579	14	130.051	2.72414	0.960629	1503.15	14	579	0	1370
75	80830	158162	635	238992	387	42	92	10.3585	16.9601	0.997057	4773.14	92	42	0	4744
76	3854441	30549	174	3884990	104	1	0	0.263768	0	0.998491	77.1522	0	1	0	77
77	418726	2555	17	421281	18	0	0	0	0	1	67	0	0	0	67
78	55457	62751	142	118208	51	14	38	3.21643	8.4023	0.998502	4080.16	38	14	0	4069
79	741300	9146	107	750446	721	36	4	8.29855	0.730188	0.965596	118.705	4	36	0	110
80	2045	151170	16	153215	27	2	0	0.553623	0	0.999961	6313.33	0	2	0	6313
81	3529238	29505	321	3558743	46	0	8	0	1.62311	0.990266	93.0862	8	0	0	92
82	1676	9869	190	11545	118	252	447	59.8357	104.869	0.983197	5056.29	447	252	0	4895
83	77768	100870	116	178638	105	18	21	3.58357	3.26316	0.99917	4101.53	21	18	0	4097
84	1884378	102544	14	1986922	1689	32	1	7.68406	0.479129	0.992853	512.184	1	32	0	505
85	70712	5199	403	75911	2715	989	186	207.02	41.9601	0.781196	533.918	186	989	0	305
86	8149	1068	93	9217	12	34	368	9.2744	78.9419	0.952849	1018.45	368	34	0	935
87	16446	40988	383	57434	2591	1070	159	237.348	33.8845	0.967173	3778.18	159	1070	0	3509
88	17860	9335	50	27195	11	14	77	4.44638	17.5777	0.995719	2751.83	77	14	0	2729
89	13271	111453	33	124724	17	4	6	0.816425	1.39625	0.999809	5984.05	6	4	0	5982
90	287773	9100	72	296873	14	2	7	1.0058	1.97641	0.994836	299.771	7	2	0	297
