Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	mPmumew4	mw4Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
1	424849	453661	0.0335765	0.017596	1401	878510	1080	101	111	20.6338	20.9165	0.00502477	20.8808	26	16	85	0
2	73909	19286	0.0460612	0.00794142	14	93195	62	26	25	7.18647	5.85602	0.343328	9.88681	8	9	17	0
3	37798	476897	0.0354986	0.00609761	12	514695	10	0	3	0	0.474894	0.170577	0.293103	3	0	0	0
4	24171	8541	0.0269439	0.0444693	318	32712	30	194	335	50.4415	65.7659	0.100836	64.7556	163	22	172	0
5	37600	15309	0.00637334	0.00914211	10	52909	302	172	15	30.2783	4.1222	0.318632	24.4648	4	161	11	0
6	1207	173604	0.00301459	0.0309571	57	174811	2646	61	19	7.75652	4.36177	0.11084	6.78186	10	52	9	0
7	7118	11406	0.0450963	0.0133428	1562	18524	168	373	626	83.7652	94.6679	0.02841	91.8688	325	72	301	0
8	40510	7734	0.022419	0.047851	1969	48244	1750	1735	1796	387.374	387.292	0.00257505	388.333	335	274	1461	0
9	328499	435069	0.0326204	0.00841396	853	763568	359	35	42	6.22609	6.62674	0.00150294	6.43703	17	10	25	0
10	901172	238286	0.046203	0.00261936	333	1139458	1587	60	61	13.5005	13.0315	0.0103458	13.4033	10	9	51	0
11	2144	2024	0.0287158	0.0327184	142	4168	251	1948	1812	442.483	422.066	0.048766	454.328	388	524	1424	0
12	130342	1830	0.0272004	0.0376476	37	132172	20	10	18	1.78647	4.4271	0.217919	4.02174	11	3	7	0
13	79415	11741	0.0346391	0.0185299	70	91156	2656	279	162	47.6512	40.3938	0.0565051	46.6169	26	143	136	0
14	903897	29593	0.0257513	0.00375398	47	933490	18	2	5	0.843478	0.643073	0.152861	0.874813	3	0	2	0
15	1933475	283393	0.012774	0.0202962	595	2216868	679	19	22	5.4628	5.33031	0.0128257	5.46627	6	3	16	0
16	2612901	2287	0.042386	0.00744872	90	2615188	753	11	12	3.01739	2.50635	0.0321904	2.85157	2	1	10	0
17	28159	1268	0.0318221	0.00388908	1951	29427	2223	1568	1804	327.179	335.018	0.00741448	333.593	512	276	1292	0
18	1166311	2316	0.0231296	0.0288664	490	1168627	449	32	33	7.53623	7.98185	0.0139651	7.87031	11	10	22	0
19	1000	252673	0.0312636	0.0259068	131	253673	1472	143	109	29.4242	25.7139	0.0340513	28.5247	18	52	91	0
20	236748	381319	0.0132888	0.0212671	445	618067	568	57	52	12.5469	10.8155	0.0465149	12.2421	10	15	42	0
21	527396	27544	0.0230414	0.0233113	642	554940	50	9	23	1.82609	3.02662	0.0626437	2.59595	14	0	9	0
22	3575	10501	0.0466897	0.00577276	14	14076	469	1076	539	246.609	147.626	0.214298	249.067	40	577	499	0
