Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	mPmumew4	mw4Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
1	424849	453661	0.335765	0.17596	1401	878510	1080	94	102	24.2454	23.7901	-0.00487594	23.9003	20	12	82	0
2	73909	19286	0.460612	0.0794142	14	93195	62	29	30	6.13816	6.06171	0.0223534	6.23913	4	3	26	0
3	37798	476897	0.354986	0.0609761	12	514695	10	0	3	0	0.202057	0.0170706	0.103448	3	0	0	0
4	24171	8541	0.269439	0.444693	318	32712	30	192	217	47.2222	45.8397	0.011248	47.0562	53	28	164	0
5	37600	15309	0.0637334	0.0914211	10	52909	302	52	17	5.4686	2.49183	0.0548205	4.19415	6	41	11	0
6	1207	173604	0.0301459	0.309571	57	174811	2646	22	16	3.78454	3.59407	-0.00717573	3.66267	2	8	14	0
7	7118	11406	0.450963	0.133428	1562	18524	168	403	476	93.6879	97.4779	0.00277699	95.8583	125	52	351	0
8	40510	7734	0.22419	0.47851	1969	48244	1750	1698	1801	387.465	386.414	0.00102629	387.334	339	236	1462	0
9	328499	435069	0.326204	0.0841396	853	763568	359	30	37	6.12174	6.53237	-0.00195503	6.31559	10	3	27	0
10	901172	238286	0.46203	0.0261936	333	1139458	1587	59	61	12.4454	12.9335	-0.00582063	12.6169	10	8	51	0
11	2144	2024	0.287158	0.327184	142	4168	251	1875	1947	425.401	419.44	0.00465333	424.38	369	297	1578	0
12	130342	1830	0.272004	0.376476	37	132172	20	19	18	4.56425	4.07078	0.0431408	4.50975	1	2	17	0
13	79415	11741	0.346391	0.185299	70	91156	2656	244	246	51.0155	53.0702	0.0067182	52.4003	50	48	196	0
14	903897	29593	0.257513	0.0375398	47	933490	18	1	2	0.0434783	0.0689655	-0.00100375	0.0562219	2	1	0	0
15	1933475	283393	0.12774	0.202962	595	2216868	679	19	25	5.01063	5.03206	0.0123032	5.08396	6	0	19	0
16	2612901	2287	0.42386	0.0744872	90	2615188	753	9	11	2.80386	2.84936	0.0128571	2.86357	2	0	9	0
17	28159	1268	0.318221	0.0388908	1951	29427	2223	1562	1662	323.014	322.65	0.000781185	323.084	346	246	1316	0
18	1166311	2316	0.231296	0.288664	490	1168627	449	35	33	7.16135	7.32607	0.000246687	7.24588	4	6	29	0
19	1000	252673	0.312636	0.259068	131	253673	1472	104	101	19.9913	20.3539	0.0012105	20.1979	19	22	82	0
20	236748	381319	0.132888	0.212671	445	618067	568	46	62	12.3874	14.1416	0.000439609	13.2744	21	5	41	0
21	527396	27544	0.230414	0.233113	642	554940	50	17	22	3.83865	4.44767	-0.00356786	4.12969	8	3	14	0
22	3575	10501	0.466897	0.0577276	14	14076	469	909	709	197.904	182.052	0.0342884	196.654	75	275	634	0
23	2600	284018	0.459928	0.498446	1889	286618	97	71	75	14.6261	14.6183	-0.000664991	14.6124	12	8	63	0
24	2301	327769	0.321435	0.41507	103	330070	10	6	13	2.05024	3.14277	0.0287189	2.67766	8	1	5	0
25	1205	11300	0.336186	0.190746	473	12505	17	95	190	21.1604	25.8675	0.0267152	24.1777	107	12	83	0
26	894030	1087	0.0522258	0.260493	15	895117	41	1	1	0.394203	0.372656	-0.0188448	0.376312	0	0	1	0
27	113106	304320	0.107684	0.23285	24	417426	50	1	2	0.394203	0.504537	0.00361464	0.451274	1	0	1	0
28	750786	1525	0.123658	0.397566	26	752311	125	3	1	0.249275	0.312765	0.0204414	0.287106	0	2	1	0
29	345932	4776	0.142015	0.442142	1217	350708	249	162	179	33.9923	34.9365	0.0036924	34.5945	40	23	139	0
30	63359	89079	0.214566	0.469921	72	152438	154	43	44	8.68213	8.64489	0.00129609	8.67466	11	10	33	0
31	2769	4162	0.0815332	0.234046	57	6931	887	444	354	81.9932	77.7756	0.0121166	80.8516	85	175	269	0
