Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
34	91315	111097	27	202412	1406	215	5	51.114	1.03267	0.994184	3979.27	5	215	0	3928
35	2218291	3375	199	2221666	258	6	1	1.7372	0.479129	0.945079	18.901	1	6	0	16
36	5187	1167	11	6354	158	828	51	187.73	11.1494	0.936085	1403.29	51	828	0	1209
37	147947	303578	2248	451525	1686	111	141	27.8155	30.6013	0.993594	4585.17	141	111	0	4529
38	319664	50980	23	370644	105	11	3	2.657	0.666062	0.998766	1251.56	3	11	0	1249
39	8567	16943	11	25510	2076	1642	7	361.506	1.62613	0.949953	3225.3	7	1642	0	2867
40	2165	2202	54	4367	36	216	401	50.4792	82.1627	0.98019	3440.11	401	216	0	3311
41	790981	393650	70	1184631	56	3	1	0.858937	0.0344828	0.999856	2769.95	1	3	0	2769
42	1444	410300	23	411744	1161	77	2	17.0164	0.421053	0.998781	6351.28	2	77	0	6333
43	10536	31827	132	42363	2215	1129	76	242.347	17.3321	0.969677	3858.1	76	1129	0	3603
44	307180	17073	59	324253	146	31	7	6.7314	1.55354	0.992735	528.567	7	31	0	520
45	278331	33868	10	312199	599	78	2	18.6676	0.482759	0.991357	985.146	2	78	0	967
46	2061026	4201	38	2065227	46	3	0	0.889855	0	0.976197	16.5435	0	3	0	16
47	55926	3783	16	59709	336	202	15	49.5932	3.00423	0.958529	570.695	15	202	0	518
48	440501	31836	597	472337	530	41	54	9.11304	12.3442	0.98348	660.756	54	41	0	641
49	2513616	18043	19	2531659	2355	35	1	6.01449	0.290381	0.952244	59.2841	1	35	0	54
50	20107	21382	26	41489	617	443	17	101.415	4.18996	0.986881	3594.36	17	443	0	3496
51	9062	37147	1661	46209	1419	648	817	149.871	168.225	0.959085	3912.67	817	648	0	3605
52	530793	143919	27	674712	101	6	0	0.957488	0	0.999777	1895.67	0	6	0	1895
53	4322579	1672	1242	4324251	376	1	10	0.463768	2.54083	0.731557	5.93403	10	1	0	3
54	33499	132777	180	166276	94	17	37	3.47536	8.25106	0.998866	5419.83	37	17	0	5406
55	1433	70371	29	71804	1110	383	7	86.1362	1.37024	0.993219	5721.59	7	383	0	5636
56	189553	390551	435	580104	62	3	22	1.12271	3.74713	0.99947	4884.36	22	3	0	4880
57	12654	93645	13	106299	102	40	5	9.83188	0.837266	0.99917	5787.74	5	40	0	5777
58	460249	3528	54	463777	45	3	10	0.674396	0.983061	0.987949	70.2571	10	3	0	68
59	144493	2617	1448	147110	11	4	391	1.42899	82.1252	0.81209	243.022	391	4	0	162
60	1067449	6590	774	1074039	174	3	45	0.631884	12.3829	0.903368	73.8313	45	3	0	62
61	4321	1225	115	5546	399	1534	491	331.427	106.39	0.821106	1162.4	491	1534	0	727
62	3027239	2649	12	3029888	94	3	1	1.02609	0.0677556	0.929724	7.03448	1	3	0	6
63	4163	15545	1766	19708	185	159	1734	37.571	380.051	0.93863	3711.41	1734	159	0	3303
64	722535	74431	114	796966	16	0	4	0	0.935269	0.999341	793.621	4	0	0	793
65	4906261	1131	2939	4907392	37	0	19	0	3.61525	0.657237	5.68966	19	0	0	1
66	4249751	29017	393	4278768	38	0	2	0	0.3902	0.9968	68.1207	2	0	0	67
67	2340208	19118	32	2359326	68	1	0	0.495652	0	0.99728	80.413	0	1	0	80
68	1341859	1205	77	1343064	11	0	5	0	1.65154	0.944438	16.5172	5	0	0	15
69	81715	3924	1886	85639	206	83	782	19.1845	167.509	0.816579	548.099	782	83	0	361
70	4930	9188	1633	14118	204	234	2008	50.7498	438.599	0.909085	2920.26	2008	234	0	2455
71	513074	5554	104	518628	14	0	7	0	1.41258	0.992184	100.914	7	0	0	99
72	6624	7792	346	14416	158	303	668	67.5121	146.826	0.967461	3432.43	668	303	0	3219
73	7986	5982	1063	13968	41	70	1695	15.3343	362.122	0.917073	2502.2	1695	70	0	2139
74	49391	11945	22	61336	962	514	20	116.946	4.39141	0.965188	1558.93	20	514	0	1441
75	80830	158162	635	238992	387	45	89	10.0599	14.1028	0.997389	4718.08	89	45	0	4692
76	3854441	30549	174	3884990	104	1	3	0.347826	0.807623	0.992326	78.7864	3	1	0	78
77	418726	2555	17	421281	18	2	0	0.62029	0	0.994698	51.6522	0	2	0	51
78	55457	62751	142	118208	51	16	56	3.16039	11.8778	0.998002	4020.46	56	16	0	4005
79	741300	9146	107	750446	721	45	4	9.96908	1.20629	0.954716	112.505	4	45	0	103
80	2045	151170	16	153215	27	1	5	0.198068	0.452511	0.999947	6394.35	5	1	0	6394
81	3529238	29505	321	3558743	46	0	7	0	1.64126	0.988561	80.0862	7	0	0	78
82	1676	9869	190	11545	118	277	422	64.2222	89.7036	0.984486	5056.01	422	277	0	4908
83	77768	100870	116	178638	105	21	21	3.16812	3.07623	0.999257	4195.66	21	21	0	4190
84	1884378	102544	14	1986922	1689	30	0	7.67633	0	0.992852	474.239	0	30	0	466
85	70712	5199	403	75911	2715	1036	154	234.176	32.6407	0.753464	504.442	154	1036	0	267
86	8149	1068	93	9217	12	51	366	11.0628	85.5668	0.953116	1119.79	366	51	0	1023
87	16446	40988	383	57434	2591	1029	154	232.456	33.2686	0.968428	3848.44	154	1029	0	3582
88	17860	9335	50	27195	11	16	69	4.64541	12.7381	0.996661	2744.96	69	16	0	2725
89	13271	111453	33	124724	17	4	8	0.292754	2.04174	0.999784	5891.41	8	4	0	5889
90	287773	9100	72	296873	14	1	11	0.507246	2.10405	0.995256	294.923	11	1	0	293
91	255805	3462	133	259267	629	85	25	18.1758	4.11857	0.907484	112.346	25	85	0	93
92	35674	12388	1656	48062	115	60	1045	12.9536	225.457	0.934566	2000.79	1045	60	0	1772
93	1262	21713	18	22975	967	962	12	215.044	2.75802	0.980871	5052.24	12	962	0	4837
94	54314	4694	1660	59008	14	10	951	2.44155	213.246	0.840846	743.598	951	10	0	538
95	7788	111469	13	119257	1326	273	3	67.2812	0.640653	0.994805	5786.23	3	273	0	5713
96	400538	1591	16	402129	2842	160	0	25.4097	0	0.667075	35.1087	0	160	0	18
97	2178	214596	2368	216774	879	112	297	24.485	65.6909	0.991929	5884.24	297	112	0	5796
98	15975	4537	10	20512	134	233	15	49.3739	4.11555	0.986115	1736.95	15	233	0	1677
99	7583	263179	1442	270762	537	47	154	12.4164	30.9008	0.996221	6018.73	154	47	0	5978
100	100774	11312	22	112086	29	9	5	1.8058	1.89655	0.997949	905.156	5	9	0	901
1	9467	3228	1198	12695	34	55	2072	11.0918	443.801	0.84852	1645.05	2072	55	0	1203
2	6959	27949	21	34908	80	58	16	11.5391	2.59891	0.998811	5504.52	16	58	0	5491
3	2885457	1399	873	2886856	49	0	14	0	2.26316	0.711689	4.25862	14	0	0	2
4	27503	156011	524	183514	13	4	90	0.173913	18.9486	0.9981	5612.02	90	4	0	5593
5	2845	72381	603	75226	15	6	250	1.35845	50.5953	0.995195	6005.81	250	6	0	5956
6	107552	82948	387	190500	88	13	74	3.58744	15.4761	0.996998	3406.95	74	13	0	3390
7	1888162	13099	18	1901261	57	3	0	1.11884	0	0.9916	58.8261	0	3	0	58
8	976985	35953	204	1012938	25	1	17	0.0434783	2.91894	0.994981	328.66	17	1	0	326
9	581285	9038	1753	590323	1661	123	107	28.886	24.3733	0.829801	155.157	107	123	0	104
10	2215187	375451	44	2590638	1883	34	1	7.30725	0.0677556	0.997478	1293.64	1	34	0	1286
11	217691	64923	760	282614	36	6	101	1.21256	25.3285	0.992547	1969.56	101	6	0	1943
12	954133	2267	2482	956400	420	15	102	3.09275	24.6503	0.702928	49.7436	102	15	0	21
13	26941	193009	144	219950	1509	176	28	38.4232	4.79189	0.99652	5641.8	28	176	0	5602
14	304127	5117	122	309244	34	1	18	0.347826	4.94313	0.979801	144.097	18	1	0	140
15	42877	126009	59	168886	81	15	9	2.05217	1.52027	0.999654	5079.28	9	15	0	5076
16	216702	173524	18	390226	58	7	0	1.42995	0	0.999823	3567.22	0	7	0	3566
17	36386	1151	196	37537	569	509	191	115.486	40.078	0.742818	289.457	191	509	0	137
18	1062	38447	16	39509	656	434	14	103.802	4.04053	0.991643	5755.63	14	434	0	5646
19	13123	139304	319	152427	40	8	52	1.62802	10.4029	0.998898	5924.03	52	8	0	5913
20	1401	194247	2180	195648	66	5	308	1.28599	67.8705	0.993626	6035.83	308	5	0	5968
21	3962672	106096	2906	4068768	192	3	34	0.285024	8.3539	0.980377	243.849	34	3	0	235
22	3128235	1605	14	3129840	172	0	0	0	0	1	4	0	0	0	4
23	2807970	4445	84	2812415	12	0	1	0	0.215971	0.992519	16.1207	1	0	0	16
24	3179133	2916	1155	3182049	26	0	17	0	3.61585	0.798237	9.81034	17	0	0	6
25	23211	2919	342	26130	91	143	480	32.3372	102.128	0.927997	986.819	480	143	0	863
26	2190	47363	578	49553	148	74	361	18.2657	71.7126	0.991772	5846.84	361	74	0	5756
27	1711613	71963	1557	1783576	1417	19	35	4.04831	8.75923	0.983342	400.801	35	19	0	387
28	14978	4347	24	19325	26	50	42	11.17	6.57471	0.995391	1866.63	42	50	0	1849
29	1346535	213686	2882	1560221	99	2	78	0.249275	15.5003	0.992653	1193.1	78	2	0	1177
30	1843925	8780	151	1852705	138	3	4	0.794203	0.77314	0.98309	46.2729	4	3	0	45
31	261102	291388	16	552490	12	1	2	0.162319	0.483969	0.999915	4035.09	2	1	0	4034
32	67826	460337	11	528163	210	16	1	2.47729	0.290381	0.999779	5677.91	1	16	0	5674
33	2534600	4907	77	2539507	118	2	2	0.646377	0.256503	0.972406	15.551	2	2	0	15
34	91315	111097	27	202412	1406	238	3	50.4705	0.589837	0.994239	3924.95	3	238	0	3876
35	2218291	3375	199	2221666	258	7	5	1.33816	0.948578	0.935871	17.494	5	7	0	16
36	5187	1167	11	6354	158	803	59	181.68	15.0175	0.93217	1314.82	59	803	0	1120
37	147947	303578	2248	451525	1686	122	146	30.0039	28.7949	0.993595	4578.69	146	122	0	4528
38	319664	50980	23	370644	105	12	3	2.84638	1.19903	0.998412	1213.15	3	12	0	1209
39	8567	16943	11	25510	2076	1670	8	373.587	1.77556	0.946222	3104.28	8	1670	0	2739
