Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	mPmumew4	mw4Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
1	31147	4182	0.39469	0.223893	48	35329	15	25	48	5.9372	7.27828	0.0263298	6.7916	23	0	25	0
2	3042	281953	0.248464	0.26279	1191	284995	241	107	132	26.9459	27.2619	-0.00206575	27.0487	34	9	98	0
3	1733135	232373	0.121868	0.192013	336	1965508	19	1	1	0.0434783	0.0998185	-0.00755287	0.0712144	0	0	1	0
4	6037	205972	0.120715	0.0147264	18	212009	13	2	3	0.322705	0.361162	0.0351844	0.354573	2	1	1	0
5	2047599	3574	0.028582	0.45259	531	2051173	85	11	14	2.5314	2.51906	0.0024829	2.53148	3	0	11	0
6	1957	35936	0.222414	0.329736	34	37893	732	114	94	21.4454	21.3025	0.0131773	21.6589	16	36	78	0
7	760553	37572	0.320474	0.34134	975	798125	13	2	5	0.556522	0.730792	0.000954553	0.644678	3	0	2	0
8	55759	9878	0.0586441	0.0682288	851	65637	491	686	755	154.572	156.737	0.0106614	157.338	166	97	589	0
9	196166	11636	0.353372	0.269816	1419	207802	70	48	50	9.4087	9.26437	-0.003265	9.30585	16	14	34	0
10	1023	171037	0.392724	0.0649543	966	172060	200	57	73	14.0618	15.2668	0.00687913	14.7691	22	6	51	0
11	765233	29964	0.133439	0.407124	395	795197	873	33	36	7.87246	7.82033	-0.00489176	7.8081	7	4	29	0
12	239302	23353	0.37971	0.0536393	705	262655	2054	373	390	83.2232	83.049	0.00219534	83.3186	74	57	316	0
13	38346	159519	0.0752807	0.350899	188	197865	789	66	61	14.1585	13.389	0.0144326	13.973	6	11	55	0
14	23913	1523	0.209783	0.463628	36	25436	26	99	104	23.7758	25.5487	0.0238193	25.2706	23	18	81	0
15	3984028	27234	0.154748	0.31529	44	4011262	119	3	3	0.87343	0.833636	0.0269989	0.877061	0	0	3	0
16	33216	5416	0.41206	0.266835	1827	38632	1424	1698	1814	373.893	373.351	-0.000742692	373.343	346	230	1468	0
17	8756	58929	0.109012	0.207745	25	67685	10	22	26	5.78454	5.44223	0.0503722	5.9093	10	6	16	0
18	3884149	30891	0.487691	0.389744	1778	3915040	534	16	17	3.47729	3.47973	-0.00440359	3.46327	6	5	11	0
19	110261	18662	0.258952	0.0774335	49	128923	80	42	45	8.31691	8.11736	0.0513865	8.66117	14	11	31	0
20	23832	23458	0.361508	0.366604	34	47290	832	114	97	24.2725	22.9383	0.00625243	23.7504	16	33	81	0
21	324311	461773	0.144501	0.171965	399	786084	654	52	47	11.1556	10.7387	0.00707505	11.024	8	13	39	0
22	876889	231564	0.4204	0.185537	31	1108453	1059	16	11	2.66087	2.24743	-0.00607814	2.43853	1	6	10	0
23	194746	271585	0.274941	0.132349	111	466331	1365	79	82	15.4232	16.2656	0.00837362	15.9805	17	14	65	0
24	1711	18050	0.404374	0.288144	575	19761	159	714	767	167.423	165.958	0.00278376	167.152	151	98	616	0
25	5066	13950	0.491443	0.240095	2734	19016	27	66	100	14.8734	16.242	0.00476464	15.6357	49	15	51	0
26	6383	10515	0.407578	0.423475	67	16898	73	337	322	76.4773	73.9915	0.0103915	76.0172	50	65	272	0
27	1954	1530	0.00107692	0.355342	2879	3484	13	3103	4327	841.777	943.032	0.0495965	939.515	1483	259	2844	0
28	13187	1712	0.3311	0.470808	14	14899	926	111	91	19.9005	19.3085	0.0191386	19.985	22	42	69	0
29	145541	362419	0.262429	0.121413	26	507960	12	3	3	0.635749	0.457955	0.065359	0.583958	0	0	3	0
30	80555	6458	0.0860236	0.221025	97	87013	54	79	75	18.17	15.7768	0.0106502	17.1492	15	19	60	0
31	540573	91682	0.436997	0.065058	74	632255	23	1	1	0.263768	0.448276	0.0604848	0.38006	0	0	1	0
32	117082	27337	0.119799	0.304134	56	144419	360	38	38	9.34783	8.41198	0.00119168	8.88831	8	8	30	0
33	2139076	2041	0.470364	0.282961	17	2141117	467	0	1	0	0.130672	0.0436514	0.0689655	1	0	0	0
34	287806	252936	0.126037	0.270418	27	540742	503	4	4	0.748792	0.951603	0.0386373	0.885307	1	1	3	0
35	182151	21087	0.252322	0.34252	20	203238	28	12	11	3.42222	3.48094	0.0823128	3.76162	0	1	11	0
36	63319	29814	0.414477	0.196943	223	93133	79	73	79	17.1121	18.1107	0.0019636	17.6484	14	8	65	0
37	2023284	3215	0.0729356	0.0481389	337	2026499	95	4	4	0.6657	0.425287	-0.00277363	0.543478	0	0	4	0
38	23713	74846	0.348073	0.492011	779	98559	158	265	282	65.8696	66.193	0.0029681	66.2286	55	38	227	0
39	343793	1166	0.397782	0.243504	19	344959	34	5	7	1.44541	1.68845	0.0508393	1.65217	3	1	4	0
40	289489	3307	0.449058	0.240054	1668	292796	2779	441	458	86.2473	86.8016	-0.00269464	86.2931	99	82	359	0
